Country,Date,Total Cases,Deaths,Recovered,Active Cases
United States,2020-01-21,1,0,0,1
United States,2020-01-22,1,0,0,1
United States,2020-01-23,1,0,0,1
United States,2020-01-24,2,0,0,2
United States,2020-01-25,3,0,0,3
United States,2020-01-26,5,0,0,5
United States,2020-01-27,5,0,0,5
United States,2020-01-28,5,0,0,5
United States,2020-01-29,5,0,0,5
United States,2020-01-30,6,0,0,6
United States,2020-01-31,7,0,0,7
United States,2020-02-01,8,0,0,8
United States,2020-02-02,11,0,0,11
United States,2020-02-03,11,0,0,11
United States,2020-02-04,11,0,0,11
United States,2020-02-05,11,0,0,11
United States,2020-02-06,12,0,0,12
United States,2020-02-07,12,0,0,12
United States,2020-02-08,12,0,0,12
United States,2020-02-09,12,0,0,12
United States,2020-02-10,12,0,0,12
United States,2020-02-11,12,0,0,12
United States,2020-02-12,12,0,0,12
United States,2020-02-13,12,0,0,12
United States,2020-02-14,12,0,0,12
United States,2020-02-15,12,0,0,12
United States,2020-02-16,12,0,0,12
United States,2020-02-17,12,0,0,12
United States,2020-02-18,12,0,0,12
United States,2020-02-19,12,0,0,12
United States,2020-02-20,14,0,5,9
United States,2020-02-21,14,0,6,8
United States,2020-02-22,14,0,6,8
United States,2020-02-23,14,0,6,8
United States,2020-02-24,14,0,6,8
United States,2020-02-25,14,0,6,8
United States,2020-02-26,15,0,6,9
United States,2020-02-27,15,0,6,9
United States,2020-02-28,10,0,6,4
United States,2020-02-29,24,1,7,16
United States,2020-03-01,42,2,9,31
United States,2020-03-02,57,6,9,42
United States,2020-03-03,85,9,9,67
United States,2020-03-04,111,11,9,91
United States,2020-03-05,175,11,9,155
United States,2020-03-06,252,14,9,229
United States,2020-03-07,353,19,15,319
United States,2020-03-08,497,21,15,461
United States,2020-03-09,645,26,15,604
United States,2020-03-10,936,31,15,890
United States,2020-03-11,1205,37,15,1153
United States,2020-03-12,1598,41,15,1542
United States,2020-03-13,2163,49,16,2098
United States,2020-03-14,2825,56,49,2720
United States,2020-03-15,3501,62,60,3379
United States,2020-03-16,4373,76,75,4222
United States,2020-03-17,5664,97,75,5492
United States,2020-03-18,8074,123,107,7844
United States,2020-03-19,12022,175,109,11738
United States,2020-03-20,17439,230,147,17062
United States,2020-03-21,23710,298,171,23241
United States,2020-03-22,32341,408,178,31755
United States,2020-03-23,42751,519,296,41936
United States,2020-03-24,52690,681,379,51630
United States,2020-03-25,64916,906,394,63616
United States,2020-03-26,81966,1159,1864,78943
United States,2020-03-27,101012,1592,2465,96955
United States,2020-03-28,121105,2039,3231,115835
United States,2020-03-29,140223,2431,4559,133233
United States,2020-03-30,160686,2985,5506,152195
United States,2020-03-31,186082,3806,7251,175025
United States,2020-04-01,212814,4746,8878,199190
United States,2020-04-02,241626,5821,10403,225402
United States,2020-04-03,273808,7007,12283,254518
United States,2020-04-04,307876,8359,14825,284692
United States,2020-04-05,333593,9534,17977,306082
United States,2020-04-06,362955,10748,19573,332634
United States,2020-04-07,393707,12674,21674,359359
United States,2020-04-08,425746,14610,22891,388245
United States,2020-04-10,"493,567","18,544",27314,447709
United States,2020-04-11,"525,436","20,454",30453,474529
United States,2020-04-12,"553,493","21,936",32634,498923
United States,2020-04-13,"578,178","23,398",36948,517832
United States,2020-04-14,"604,165","25,776",38820,539569
United States,2020-04-15,"633,630","28,214",48708,556708
United States,2020-04-16,"665,706","30,355",57754,577597
United States,2020-04-17,"696,621","32,435",60510,603676
United States,2020-04-18,"724,895","34,178",68285,622432
United States,2020-04-19,"751,218","35,809",71012,644397
Spain,2019-12-31,1,0,0,1
Spain,2020-01-01,1,0,0,1
Spain,2020-01-02,1,0,0,1
Spain,2020-01-03,1,0,0,1
Spain,2020-01-04,1,0,0,1
Spain,2020-01-05,1,0,0,1
Spain,2020-01-06,1,0,0,1
Spain,2020-01-07,1,0,0,1
